comment,num_of_likes,reply_count
I am Egyptian and this video is the best video ever made of the pyramids,572,6
"i'm egyption, i'm so proud of egyption authorities that they let you DO THAT! 
I'm really proud of you coming to egypt yet very jealous that I didn't have the chance to see you jemmy!!",561,6
epic video,558,16
VM Gran misterio thanks you for the exclusive images of Egypt,556,2
@VM GRAN MISTERIO te saludo !!!!!😍❤️💕,556,1
"¡VM Gran Misterio te saluda! 😁✌.

¡Gran video Mister Beast! 😀😉",523,6
"VM GRAN MISTERIO , super recomendado !! 🤯",520,0
"كلنا عرب حبايب وإخوات ❤❤
أسئل الله العظيم رب العرش العظيم ان يحفظ مصر وسأئر بلاد المسلمين من كل مكروه وسوء",520,32
VM Gran misterio rocks 🤘,509,7
"VM Gran Misterio te saluda!
Que las estrellas guien tu camino 🌌
Austin, Tx.",504,3
what a great effort! I think this is your best video ever.,503,7
Proud and happy to be Egyptian .... I love our history and our ancient egyptians....i am obsessed ❤️🇪🇬,501,15
Saludos de VM Granmisterio 🖖🏽 pásate por ahí 😉,494,5
¡VM GRANMISTERIO te saluda!! Que las estrellas guíen tu camino ⭐,489,2
The VM Granmisterio community thanks you for these exclusive images of the pyramids,484,3
VM Gran Misterio sends you greetings. Thanks to Ivan recommendation I am here🎉 From Argentina,476,5
أنا مغربي ومن بين احلامي زيارة مصر لأرى أعظم حضارة في العالم..فخور بكم أخوانا المصريين 🇲🇦❤️🇪🇬,471,23
This content would be enough for an 5 hour video,468,3
¡VM GRANMISTERIO te saluda!! Que las estrella guíen tu camino 🎉,464,4
Genius ending ahahaha,459,7
VM GRAN MISTERIO te saluda. El mejor investigador!,432,4
هذا حقا من أروع فيديوهاتك شكرا مستر بيست❤,421,4
VM Gran Misterio te saluda!!!😊  Que las estrellas guíen tu Camino... 🎉,419,3
VM Gran Misterio habló de este excelente canal,411,5
VM Gran Misterio Saludos!!!😎,409,5
"As a person living in Egypt, i am honestly VERY impressed. They wouldn't have gotten you do that so easily
even if you are a big Youtuber",404,8
أسال الله في هذا اليوم وكل يوم أن تدوم السكينة في قلوبكم والابتسامة على وجوهكم  والسعادة في بيوتكم  والصحة في أبدانكم والتوفيق في حياتكم,393,5
I NEED the extended longer 1+ hour version of their trip to Egypt and the pyramids! I love this stuff!💗💗💗,389,1
Love Form Bangladesh Bro 💙❤,389,12
"You can imagine how these pyramids were built by the ancient Egyptians with all this complexity. Thank you, really for this video, as I, as Egyptian, I haven't seen this before",385,3
¡VM Gran Misterio te saluda!👋🏻💸,384,25
I am an antiquities specialist and this is the first time I see new things in the pyramids area. The video is great. Thank you.,382,0
LMAOO 19:42 IM DYINGGG LOLLLOOOLLLOLLL,380,6
في 50 مليون مصريين من مشاهداتك يا جمي 😅😂😂هههههه .... بس شابو لكل من شارك في هذا الفيديو الاكثر من رائع ..... أنا كمدرس مصري، لأول مرة في حياتي أشوف وأسمع عن الأشياء المعروضة في هذا الفيديو الجميل ده ! بصراحة، ده أحد وأفضل مقاطع الفيديو التي قمت بإنشائها على الإطلاق بالتعاون مع وزارة السياحة المصرية . ❤❤ عااااش جدا❤,380,11
الفيديو جايب 90مليون مشاهدة في 4ايام بجد شئ مذهل واقوي فيديو حرفيا عل القناه وفيديو فعلا بيخلينا نفتخر اكتر بمصر وتراثها لانها فعلا عظيمة وشكر ليك جد يامستر بيست لانك سلط الضوء عل اهرامات مصر من تاني ❤,377,9
VM GRANMISTERIO Te saluda!! Que las estrellas guíen tu camino💫,377,0
Now that's a video I actually want to watch!,376,2
انا مصري ومرحتش الأهرامات ولا مره احس ان الموضوع ممتع جدا وربا اذهب اليا في يوما من الايام,373,16
"The Egyptian men were extremely entertaining, friendly, and engaging.  They made this video even better!",369,1
This is so nice more pls 😊🙏,366,4
"I am Egyptian and this is the first time I see these beautiful shots inside the pyramids. Thank you for this effort and welcome to the mother of the world, which is the origin of civilization.❤ ‏‪21:02‬‏",364,4
"Wow! What an incredible adventure!
Egypt is packed with mysteries
Why not make an entire series here?",361,1
"Those Egyptian guides were so relaxed and engaging.
 I enjoyed the humorous yet informative interaction.",358,0
الجميل بجد أنه بيست اتكلم و اثبت هو و دكتور زاهى عن أن المصريين القدماء اصحاب بناء الاهرام و أكد على ده مره و اتنين في فيديو انا واثقه أنه هيوصل لاكتر من 300 مليون مشاهد قريب اوى ♥️,357,3
"As an Egyptian, welcome to our ancient wonders! Hope this inspires more people to visit and learn about our heritage!❤❤",354,4
This is the type of video that should have been more than an hour long...,348,1
سبحان الله اول مره اشوف فديو تفصيلي عن الاهرامات وبستعجب جدا ازاي المصريين كانو بالمهاره العظيمه اللي تخليهم يبنو المعجزات دي ؟ بس الاكيد  أنهم مكانوش   عاديين ابدا اكيد مفيش اي بشر ع الأرض بنفس الذكاء والمهاره دي  .. ربنا يحفظلنا مصر يارب ❤❤,345,3
VM GRAN MISTERIO talked about this,340,5
VM Gran Misterio. Genial poder ver el pozo de Osiris.,334,2
"VM Gran Misterio te manda saludos ❤❤❤ 
Excelente video 👌👌👌",330,4
"I recently went to Egypt and believe in me it is the best places to experience thrill, adventure and fear at once.",325,2
تحياتي من سلطنة عمان للمصريين العظماء ❤,324,2
احنا نفسنا كمصريين لم نتوقع كل هذه العظمة والجمال بداخل الأهرامات ❤,324,3
i cant believe how strong you and your cast is. literally only person to do this.,319,1
"I'm Egyptian  and this is the first time to see the magical footage inside our pyramids, thank you  for this effort and you are welcome  any time in Egypt ❤❤❤",317,2
Who is watching this now ???,317,52
A  VM Gran Misterio deberias invitarle a un viaje asi ❤,316,3
¡VM Gran Misterio te saluda!👋🏻,314,5
"انا من مصر 
نشكرك على هذه الرحلة واتمنى ان تأتي مدينة الأقصر ستكون رحلة رائعة ايضا",314,2
19:59 he's old but he didn't look tired in single time he look excited,313,3
Vm granmisterio te saluda!!! Interesante video,312,3
@VMGranmisterio te saluda !✌🏾,311,2
¡VM GRANMISTERIO te saluda!! Que las estrella guíen tu camino,310,1
"VM Gran Misterio, greets you!",307,3
That dude definitely took that gold😂,307,3
مستر بيست دائمًا يرفع سقف الإبداع، لكن هذه المرة دخل إلى قلب التاريخ نفسه! تجربة استثنائية داخل الأهرامات تكشف عظمة الحضارة المصرية بعيون حديثة ومغامرة لا تُنسى. مزجٌ رائع بين الترفيه والتعليم، يثبت مرة أخرى أن المحتوى الإبداعي لا حدود له,307,2
VM GRAN MISTERIO 😊 Saludos,303,4
I’ve been smiling this entire video. I love learning about the ancient world. Thank you so much to these wonderful Egyptians for making this video possible! Love from the US,300,0
"what a beautiful Egypt ❤

from : Indonesia ❤🇮🇩🇪🇬",298,7
"지구 반대편에서 
평생 한번도 못 가볼 곳을
이렇게 누워서 편히 경험할 수 있게 해주신
채널 관계자분들께 너무 감사드려요~^^!

+ 남도형 성우님 , 더빙 멋지십니다.",297,12
21:32  *We are going to escribe with this one* 🗣🗣🔥🔥💀💀.,297,1
انا مصري اسكن بالمنطقه التي يوجد بها الأهرامات بمحافظة الجيزه ❤❤شكرا لك مستر بيست لزيارتكم الأهرامات ❤❤❤,296,6
"VM Gran Misterio lo recomendó y la verdad es muy interesante, gracioso y entretenido ¡gracias Ivan de GR Misterio por la recomendación! 😊👍",293,3
VM Gran Misterio salutes you !!!!,291,4
"As an Egyptian, I want to thank you for making this content with all this love, admiration and interest in our Egyptian civilization. We are always proud of our Egyptian civilization, history and origins, and now I am even more proud after this video.",290,10
Karl is so chill,289,11
Kayzer abi burdayız 🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷,288,16
"انا سوري كنت عايش بمصر
والله احسن ناس واطيب شعب
وعشرتهم جميلة جدا
بلد الحضارة والتاريخ
الله يحمي مصر واهلها💚💚💚",288,6
Omg bro that’s so cool,283,3
"شكراً دكتور زاهي حواس وللشباب الذين شاركوا في هذا الفيديو الرائع 😮♥️♥️🇪🇬
كم انتٍ رائعة يامصر..!!
Proud to be Egyptian
Come to Egypt to see more ❤",279,18
Vm gran misterio te saluda  🔥🔥🔥 gracias por mostrarnos tu experiencia,277,0
Me recomendó ver este video  VM GRAN MISTERIO un gran canal,277,2
Thank you for using your money and power for such cool stuff... I love this!,275,0
"Thank you very much, because you came to Egypt, I wish you could enjoy this beautiful trip 🇪🇬❤❤",275,10
I am proud to be an Egyptian with the greatest civilization in the world. It is wonderful that you are history.❤❤🎉,274,9
"As an Egyptian, I was surprised with the incredible information you provided in this video, That was AWESOME and you were more the welcomed in our land of history",274,4
Best video in YouTube’s history . Its mind blowing!,268,2
"El mejor canal sobre misterios ""Vm Granmisterio"" te saluda! 
Saludos me beast, buen video",267,3
"Thanks for filming this amazing video, even the atmosphere is felt here 😮",267,1
Doctor Zahi is a legend❤,266,2
Egypt is incredible and the tour guides were great.,265,0
"Dude, I wish you had made this video just for 1 hour, I really couldn't get enough of watching it, the pyramids are extraordinary.",265,3
¡VM Gran Misterio te saluda! ,263,3
VM Gran Misterio te saluda. Increíble lo que han hecho.,251,1
Zahi went back for that gold for sure,250,6
VM Gran misterio te manda muchos saludos ! ,250,3
استاذ زاهي حواس شكرا ليك انك مشرفنا قدام العالم كله🇪🇬♥️♥️,247,4
أنها مصر يا ساده وهذا فعلا ما يريد العالم كله أن يراه عن مصر هذه الحلقه تاريخيه فعلا ❤ بأنها تتكلم عن عظمه مصر وتاثيرها الذي لا يختفي ابدا مهما مر من عصور ❤,247,1
Desde Uruguay VM Granmisterio te saluda!!!!,247,6
Vm Granmisterio sends you many greetings!,245,0
"VMGran Misterio, says hello 😉✌🏽",245,5
أفضل فيديو لمستر بيست لأعظم حضارة في التاريخ ❤️,243,0
"Holaaaaa
VM gran misterio te saluda desde México 🇲🇽🇲🇽 🇪🇦",243,4
"Vm gran misterio !! 

Que locura conocer esos lugares 🤯❤🇦🇷",241,3
"VM gran misterio te saluda .

Grandes los secretos de Egipto, ojalá un día cercano no tengan más remedio que sacar ala luz pública los secretos, que nos mantienen sobre todo lo relacionado a ello , saludos.",240,3
"VM Granmisterio te saluda 
✌️😉",240,2
ثقافتنا وحضارتنا عظيمه بجد وعلي قد ما الفيديو بجد جميل علي قد ما اتضايقت اني كمصري اول مره اشوف حاجات كتيره من تراثنا,240,15
"I have searched a lot about the pyramids through books and other things, but now I am amazed by this information. Now you are a very genius person.",237,3
This is a perfect example of money giving you access,237,5
This Video is Really Fascinating to Watch just woah 😍,237,6
"Я тут більше дізнався про піраміди, ніж у школі на уроках історії та у підручниках з давнього Єгипту. Дякую за унікальне відео",236,12
I'm Egyptian. Being Egyptian makes me proud .This is special and great. Thank u for your effort.,235,2
"Es increíble lo que éste hombre ha logrado, pronto llegará más lejos. ❤❤",230,4
VM Gran Misterio envía saludos. VM Gran Misterior says hello!,227,2
انا بجد كمصري فخور  جدا بتاريخنا وحضارتنا,226,9
"Gran misterio te manda saludos, excelente canal 👍",226,0
كان ذالك رائعا 🇮🇶,221,7
"As someone who loves history and archeology, I LOVE this video. Simply amazing to see! Once in a lifetime! ❤",220,2
بجد فخور اني مصري وبجد حاجه جميله واول مره بجد اشوف الأهرامات من جوه كده وحاجه تفرح اي حد بجد عن حضارتنا الجميله♥️♥️♥️,218,3
واووو زاهى حواس ❤الله اكبر عليكى يامصر احل. فيديو عملته فى حياتك حقيقي,217,0
This is special. exactly how privileged access should be used and shared.,216,0
This video is literraly going to be shown in schools all around the world for years,216,5
برافو مستر بيست❤❤+نورتنا في مصر 🇪🇬🇪🇬,215,4
21:34 “ESCRIBE! FOR.. MRBEAST”,211,1
"VM GRAN MISTERIO TE SALUDA, the mistery is here",211,2
A 20-minute video attempting to camouflage current findings,210,5
الأهرامات حضارة شامخة فخر يحكي مجد أجدادنا، الدبلجة المصرية بلمستها العبقرية خلتنا نحس إن كل شخصية أجنبية طلعت من قلب شوارعنا! إبداع محفور في تاريخنا زي أحجار الجيزة العظيمة.,209,6
"Спасибо большое Джимми и всей его команде,за проделанную работу! Только на днях с мамой обсуждали про пирамиды,как их строили и тут ты выкладываешь видео😄Смотрели вместе с мамой и были очень удивлены ,еще раз большое спасибо💗💗",207,14
كُل الحب لأهلنا بمصر 🇮🇶,206,5
I love seeing the beauty and mystery of our pyramids being appreciated in such a unique way. The effort and dedication,204,1
"Our great Egypt ❤
جاءت مصر ثم جاء التاريخ ♥️♥️",203,9
السياحه في مصر ↖️↖️↖️ تستاهلون اتمنى لكم كل الخير من العراق 🇮🇶❤,201,12
Saludos desde gran misterio!!,197,3
brain eating omeba 5:50,197,6
"El canal VM Gran Misterio te saluda, Sr Bestia!!🤙🏼🤙🏼",196,3
I am from Egypt and I am honored to welcome I saw you at the pyramids❤❤,195,2
Is the video really over? I want more. It's the greatest video in the channel's history ☠️☠️ 21:41,194,0
Kayzer abi burdayız🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷❤️🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷,194,8
وانا عماله اقول سمعت صوت الدبلجة دة فين قبل كدة 😂 محمد برعي عااش 👏🏻🔥,193,7
"As an Egyptian, this is the first time I have seen or heard about the things inside the pyramids. Honestly, it is wonderful. You are creative.",189,0
"اكثر شئ اعجبني في هذا الفيديو هو تعاون الحكومة المصريه مع مستر بيست لانهم يعلمون ان هذا الشئ له فائدة كبيره ليعرف العالم باكمله حضارة مصر القديمة وايضا"" التعاون الواضح من الحكومه المصريه يجعل السياحه تنتشر وتتزايد اكثر شكرا يامصر وشكرا مستر بيست على هذا الفيديو الاكثر من رائع
اخوكم من اليمن 👏👍",189,11
"it’s remarkable about Egypt is that it has all kinds of tourism: cultural, landscape, coastal, natural healing and more🇪🇬🇪🇬🇪🇬❤❤❤❤❤👑
That's a simple thing✨😌",189,2
بفضل هذه الحلقة سوف تتضاعف السياحة في مصر كل الحب لام الدنيا مصر اتت مصر ثم اتى التاريخ تحياتي من اليمن❤,189,2
"اخيرا الحكومه فهمت ان دي افضل و اسهل و اوفر دعايه لحضارتنا
ان تأتي متاخرا خير من الا تأتي ابدا 
مصر ❤ 🇪🇬",187,3
Increiblee!! Buen trabajo Señor bestia 😊❤,187,0
"as an Egyptian ,it is the first time to see what inside the pyramids.
IT IS THE BEST VIDEO YOU HAVE EVER MADE.",185,0
من اجمل الفيديوهات اللي شوفتها في حياتي للعلم انا بدرس ارشاد سياحي و عجبني الفيديو جدًا شكرًا مستر بيست على الدعاية السياحية الجميلة دي ياريت كل اللي بيشوف تعليقي يدعيلي ربنا يوفقني في دراستي لان دراسة الارشاد السياحي هو حلمي من الطفولة و الحمد لله حققته ❤️❤️❤️🇪🇬,184,3
"ياااه بجد علي الفخر اللي الواحد حاسه دمتي عظيمه يا بلدي ودمتي حديث العالم كل يوم❤️🇪🇬
Soooo proud of being Egyptian🇪🇬❤️❤️❤️",184,2
VM GRAN MISTERIO te saluda 🖖🏻 🇪🇸,181,3
"He is not just Zahi !!!
He is a living legend 
Professor Zahi Hawas 
Is a living legend 
The most important archaeologist of all time",181,3
5:45 - have you ever heard about brain eating amoeba?... just asking....,181,9
"I'm Brazilian and I was inside the Sakara, and other egyptian constructions in 2023. It's amazing. I love Egypt",181,1
VM Granmisterio sends you greetings!,178,1
Это видео должно стать одним из самых популярных на данном канале.,178,10
This was such an incredible adventure to watch! I love seeing the beauty and mystery of our pyramids being appreciated in such a unique way. The effort and dedication you and your team put into this experience are truly impressive.,177,2
اكتر فيديو مبهج وجميل يصور اصول الأهرامات والحضارة المصريه القديمه بالشكل الاحترافي ده انا كمصري اكتسبت معلومات جديده كتير مكنتش اعرفها خالص فعلا كل تفصيله مهما كانت بسيطه او كبيره موضحه بالفيديو وتعاون الجهات الحكومية شئ جميل جدا وكل احترامي وتقدير لكل من شارك في بناء وصناعة الفيديو ❤️✨ شكراً,176,0
"‏‪‪11:39‬‏ يلا بينا على ابو الهول مدفون تحتيه لعبه ب 10,000 دولار😂😂 اي مصر بيتفرج على الفيديو يلا بينا😂",176,5
5:55 why bro is diving in still water,175,6
5:20  still water,175,10
"As an Egyptian that have been to the pyramids before this is the first time to see or hear about these magical things shown in this video! 
Honestly, the best video that really shows how great the pyramids are, because some people just try to fit the mold",173,7
"Saludos, gracias a VM Granmisterio conocí tu canal",173,5
"와..대박;;; 피라미드 내부를 침대에 누워서 보게될줄이야..
어제 이마트에서 구입한 미스터비스트 초콜릿먹으면서 봐야징♡",169,11
أنا مصري، ويجب أن أقول إن هذا هو أفضل عمل لك على الإطلاق. هذا مذهل,169,0
Proud to be Egyptian🇪🇬🇪🇬🦅,169,3
مصريه مرت من هنا واتمنى ان يعرف المصريين قيمه تاريخهم الذى يأتى له الناس من جميع أنحاء العالم ولاكن هى انامنا دائما فبالنسبه لنا عادى ولاكنه ليس بالعادى انهم قدماء المصريين,167,10
"VM Gran Misterio te saluda!
Que las estrellas guien tu camino 🌌
Maracaibo, Venezuela",166,1
Zahi going back for that gold 😂,166,2
9:27 you can do anything 😅,164,11
افضل صانع محتوى يعود من جديد بفكرة رائعة💯💯,163,3
We need an extended cut of this must be hours worth of cool content,163,2
مصر العظيمة 🇪🇬 من الجزائر 🇩🇿تحياتي❤,162,1
¡VM Granmisterio te saluda! VM Granmisterio sends you greetings! 😊,161,1
"VM Gran misterio te saluda ✌🏻, que las estrellas guíen tu camino 💫",161,1
Easily the best video. Entertaining + Educating,160,1
VM GRANMISTERIO te saluda!! Que las estrella guíen tu camino... desde Antwerpen.,160,0
مش هقدر اعبر عن مدي فرحتي بالفيديو وبإن الحكومة المصرية قدرت تسهلكم التصوير بالشكل الاحترافي ده ❤ حاجه تشرف ودعاية لمصر من اللي قلب يحبها 🤍,159,7
VM GRAN MISTERIO te saludo !! Estaría buenísimo que hicieran una colaboración en egiptoooo!!!,159,4
VM  Gran misterio te saluda .🖖 Desde México.,159,0
This is so impressive. I am so proud to be Egyptian so it's great that the biggest YouTuber on this platform is visiting it and showing the world how great and magical it is,157,2
"Next video title: So, I bought a property in Egypt.",156,3
"This is really impressive. I am very proud to be Egyptian, so it's great that the biggest YouTuber on this platform is visiting and showing the world how great and magical it is.",156,4
"this is the first time I have seen these stunning images inside the pyramids. Thank you for your efforts, and welcome to the Mother of the World, the source of civilization.",156,1
اخوكم محمد ابو ليث من غزة محتوااايا متخصص في المعلومات التاريخية والحقائق وتاريخ البشر في انتظار ان تقيمو محتوااايا❤,154,10
‏اروع فديو على الإطلاق لحضارة مصر القديمة وكاني أري أهرامات بلدي وتاريخها لأول مرة من جمال الإخراج وجودة المحتوي,154,0
This is not an exploration; it is simply hype entertainment.,153,2
이런 영상들이 유튜브 환경을 더욱 유익하게 해주는 것 같습니다.,150,5
فخور جدا جدا بعظمة مصر  مصر التاريخ ❤❤,150,10
I am Egyptian and I am proud 🇪🇬❤️,149,1
واوو فخرر نشوف تراث وحضاره مصر باكبر قناه باليوتيوب وكل العالم تقدر تشوفه من جميع أنحاء العالم وتكتشف الحقيقه وتشوف عظمه الاهرامات للكل فخرر للعرب وللمصريين 🔥🔥❤️,147,3
21:35 ESCRIBE interesting❤❤,147,0
Congratulations Mrbeast ❤️💙,146,2
"Saludos de un miembro de la Comunidad de VM Gran Misterio, gracias a Ivan conocí tu canal.",146,5
الحضارة المصرية صنعت التاريخ و Mrbeast صنع لها فيديو👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽,146,2
"مكنتش بتابع القناه قبل كده بس الفديو ده اللي بيحكي فيه عن بلدي كان لازم اتبعه واقدر اقول انه احسن عمل فني شافته عينيا و انا فخور باجدادي اللي خلوا اشهر يوتيوبر في العالم ييجي يصور فديو عندهم 🎉
بس لو كانوا قالولنا سر بناء الاهرمات كنا هنبقي في قمة الهرم مش في الحضيض اللي احنا فيه يلاا يمكن هما خفوا سر بناء الاهرمات عشان الناس تيجي تزورهم و تدعيلهم بالرحمة 
شكرا لصاحب القناه و شكرا لمنصة يوتيوب و شكرا لكل حد عمل الفديو ومستنينكم تتعرفوا علي باقي تاريخ مصر في الاقصر 😍",145,13
