comment,num_of_likes
Doğa gerçekten büyüleyici. Hayatın pahasına bize bu gizli güzellikleri gösterdiğin için çok teşekkürler Ruhi. Onların David Attenborough’u varsa bizim de Ruhi Çenet’imiz var be 🙂🇹🇷👏🏻,605
I genuinely did not believe a place like this existed on earth. Mind shattering,582
We made the right person famous,500
"Rusya'dan selamlar Ruhi abi, bir Azerbaycan Türküyüm, severek izliyorum, başarılarının devamını dilerim. 🇦🇿 ❤ 🇹🇷",498
"I am Vietnamese, I thank you very much for coming and exploring, introducing Son Doong cave.🥰🥰",490
"I don't envy wealth, fame, good looks, or anything else that people call success.  This is the type of thing I envy.  I am grateful that the Internet and humans can deliver this type of content to you anywhere.",474
"As a Vietnamese, I cannot be proud of about our country more🇻🇳🇻🇳 happy when seeing many people in the world come and visit it🪴🌿",439
"As a Vietnamese, I am very proud that you have brought Son Doong Cave (Quang Binh) to the world, introducing Vietnam to become more beautiful in the eyes of international visitors. Thank you so much!!! ❤(Tôi tự hào vì là con người Việt Nam🇻🇳🇻🇳🇻🇳
Cảm ơn Ruhi Cenet đã tới thám hiểm hang Son Đoòng Quảng Bình, cảm ơn những nhà thám hiểm, những nhà sáng tạo, những kênh vlog đã đem lại những thước phim hay mang đến cho mọi người thưởng thức.
Tôi là con người ở quê hương Quảng Bình ❤❤❤❤
Chúc kênh Ruhi Cenet luôn luôn phát triển ❤❤)
EDIT:OMG, IT'S THE FIRST TIME I'VE GOTTEN SO MANY LIKES!!
THANK YOU EVERYONE. I HIT THE 200 LIKE MARK, IT'S TERRIBLE",424
"I hope people do not exploit, vandalize or ruin this magnificent place. Strict regulations must be put in place like limiting the number of people, and permits should be required.",413
"I am Vietnamese, if you want to experience and explore, come to our country because we always welcome guests in a friendly way. My country is always safe and peaceful.",403
"The video was kinda short, it should’ve been longer.",365
"You are an absolute gem.... Following you for the last 6 years and your level of professionalism has increased at its peak.... Making the documentation,collecting the data,taking all the risk and then bringing these all together and presenting to us is really something special,hard working and a tremendous job.... People from all around the world are watching and learning from your adventure in their own language is something really special and privilege....Thanks for making these documentaries and taking all the risk.... Cheers.... Live long Ruhi....

58


Reply",351
"What an incredible documentary! It’s free, yet far better than many paid documentary platforms. Thank you so much to you and your team for such a massive effort!",345
"저는 한국인이고, 루히 재닛은 제가 지금까지 만난 사람 중 가장 훌륭하고 가장 근면한 사람입니다. 그리고 그녀가 사람들에게 무료 정보를 제공한다는 점도 좋은 것 같아요, 루히, 당신이 있어서 다행이에요!🇰🇷❤🇹🇷",344
"As a Vietnamese, I can't help but feel an overwhelming sense of pride, joy, and happiness when I see my country being recognized by the world. It’s a special kind of warmth, the kind that makes my heart swell with excitement and gratitude. Thank you to those who take the time to explore and appreciate Vietnam. May your journey be filled with unforgettable experiences, and may you continue to discover the hidden wonders of the world. Wishing you all the best!",344
I'm from Quang Binh province in Vietnam.  I'm so proud of you for capturing the wonderful things here.  Thank you so much.,342
"I don't envy wealth, fame,  looks or any other things people called success. This is the kinda of thing I envy. I am grateful that the Internet and humans can bring this type of content to you any where.",341
"As a Vietnamese, I’m very happy that you have explored and successfully conquered Sơn Đoòng Cave, as well as discovered many extinct creatures within it. Not to mention, you researched all the necessary information beforehand to make the exploration quicker, more exciting, and safer!",308
"YouTube kept suggesting this video to me at least 10 to 20 times, but I kept ignoring it, thinking, What could possibly be more exciting than the thousands of videos I’ve already seen?

But the moment I finally clicked on it, oh man, wow! As the video progressed, I was completely blown away. This was not just good; it was absolutely incredible! The effort, the creativity, and the dedication you put into this are truly commendable.

Thank you so much for sharing this amazing journey. Keep up the phenomenal work, you’re doing an outstanding job!",306
"5 days after this Youtube Thumbnail was on my Youtube Home page... I clicked and...c'mon. It's one of the best video i've seen. I heard about this cave, the hole area, but the whole trip is incredible",293
Ruhi definitely is the best youtuber of Türkiye 🇹🇷,288
"The problem we have is because Most people always taught that"" you only need a good job to become rich"". These billionaires are operating on a whole other playbook that many don't even know exists.",282
"What an amazing documentary!  It's free, but far outperforms many paid documentary platforms.  Thank you so much to you and your team for your tremendous effort!",279
I’m Receiving unlimited Abundance And Blessings $75k biweekly it was predestined. and a good daughter full of love ❤️ Love and light to everyone reading this 💫,276
THIS is what we are alive for. To discover. To be curious. To observe and let be. Such a breath of fresh air amongst all the horrible stuff happening in the world right now.,264
Quá tự hào về Việt Nam ta ❤,259
"I am Vietnamese, and I love my country. Vietnam has a painful yet heroic history, and we have overcome it all. Now, we welcome all of you to Vietnam. Thank you to the person who created this fascinating film.",258
"I am from Vietnam and I love my country where there are cultural traditions and national identities from ancient times to this day, where there are many long -standing natural landscapes that have not been damaged by humans, so I hope that thanks to this video, many people will know about Vietnam a colorful and natural place. Coming here to admire the beautiful natural landscapes like Son Doong cave or Ha Long Bay ... 😊😅",257
always feel delighted watching your videos. Keep up the good work Ruhi Cenet.,236
"i swear this guy needs his own TV Show!!! we love you, Ruhiii ❤",231
"I also explored Son Doong Cave many years ago and have made numerous films about it.  Thank you for visiting Vietnam, and it's a pleasure to meet you!",226
Başta Ruhi Beye ve Kamera arkasındaki arkadaşlara aldıkları riskler ve gösterdikleri emekler için gönülden teşekkür ederim.,224
I am proud to be a Vietnamese thank you for letting me see this video of yours 16:28,216
"My wife and I came here in 2017.  Amazing caves and surrounding area.
 You take a boat trip up river to get to the cave entrance. We took a hiking tour as well as a boat tour through part of the cave. Wonderful people. A cherished memory for sure.
Vietnam is full of endless beauty.  The town of Phong Nha is very laid back. Highly recommend.",199
Ülkemize senin gibi kaliteli insanlar lazım ama maalesef böyle insanlar çok nadir çıkıyor tebrik ediyorum seni Ruhi Çenet,192
Greetings for all Vietnamese people. Thank you for discovering Son Doong cave for the world to know ❤❤❤,168
Greetings from all Vietnamese people. Thank you for discovering Son Doong cave for the world to know 🇻🇳♥️🇹🇷,162
"Well filmed, no filler, product ad at the end, THIS is top tier YouTube content.",162
Merakla bir sonraki keşfini bekliyorum. Harika iş çıkarıyorsun,161
"I'm retired at 27,  went from Grace to Grace. This video here reminds me of my transformation from a nobody to good home, honest wife and 35k biweekly and a good daughter full of love ❤",161
"I came to the Lord asking for his blessings as a single mom because raising my son (Joel) was an act of courage despite all the challenges. And the Lord answered my prayers with a benefiting income of $31,000 every month. To God be the glory. Joel is in school and life's been fair lately",153
Welcome to Vietnam. It's a pleasure to have a YouTuber of your caliber exploring and sharing one of our country's wonders with everyone. ❤,149
"Hello, I am Vietnamese. Thank you and the team for sharing our natural wonders with The World ❤VN❤",139
I am from Quang Binh province in Vietnam. I am so proud that you have captured the wonderful things here. Thank you very much.,128
Congratulations to you and your team on producing such a professional documentary!❤❤❤,122
"Ich liebe deine Videos! Dein Kanal ist eine Bereicherung für mein Youtube, so eine gute Qualität gibt's nicht mal im Fernseher und ich habe viel gelernt. Mach weiter so, Dankeschön!",119
Thankyou 𝐒𝐐𝐔𝐀𝐃𝟕𝟕𝟕 very-very wonderfull,118
emang gila banget lah main di 💙𝕐 𝕌 𝕂     𝟞     𝟡 🎉🎉🎉🎉💗💗💗💗 terbaik dan terpercaya 2025,116
"Brezilya'dan kucak dolusu sevgiler, Türk kardeşlerim 🇧🇷❤️",116
sensasi menegangkan terjadi dalam 𝕊ℚ𝕌𝔸𝔻𝟟𝟟𝟟,110
"You are an absolute gem.... Following you for the last 6 years and your level of professionalism has increased at its peak.... Making the documentation,collecting the data,taking all the risk and then bringing these all together and presenting to us is really something special,hard working and a tremendous job.... People from all around the world are watching and learning from your adventure in their own language is something really special and privilege....Thanks for making these documentaries and taking all the risk.... Cheers.... Live long Ruhi....",107
Türkiye için gurur kaynağısın Ruhi ÇENET. O kadar kaliteli işler yapıyosun ki her defasında daha ne kadar fazlasını yapabilir ki diyorum. Bi konuya da değinmeden gecemicem. Eşin ve çocukların olmasına rağmen bu kadar tehlikeli işlere imza atman inanılmaz. Rabbim seni ve aileni her zaman korusun. 🩷,107
"I am Vietnamese, I am proud of my country",104
"Tôi tự hào vì là con người Việt Nam🇻🇳🇻🇳🇻🇳
Cảm ơn Ruhi Cenet đã tới thám hiểm hang Son Đoòng Quảng Bình, cảm ơn những nhà thám hiểm, những nhà sáng tạo, những kênh vlog đã đem lại những thước phim hay mang đến cho mọi người thưởng thức.
Tôi là con người ở quê hương Quảng Bình ❤❤❤❤
Chúc kênh Ruhi Cenet luôn luôn phát triển ❤❤",102
"Ruhi, I have been following you for 10 years. You have reached another level. It is a great pleasure to see where you have come from. As a Turk, I am proud of you. Greetings from Konya.",91
Following you was the best thing that I've ever done. Lots of love from Africa.,91
Teşekkürler.,87
Bravo Ruhi Çenet ,86
THANK YOU SO MUCH FOR YOUR VIDEOS RUHI!! WE LEARN SO MUCH FROM YOU❤,79
"I am Vietnamese .I  am proud because it is my country's heritage❤
Thank you for coming to my country❤",77
ありがとうございます！,73
I am also someone who explored Son Doong Cave many years ago and also made many films about this place. Thank you for visiting Vietnam and nice to meet you!,68
Hem kalite hem anlatım hem bilgiler hemde videoda bir yandan öğretirken bir yandan da eğlendiriyor ve hepsi bir yana bu maceralar aklı sıra ermiyecek zorlukta ve güzellikte işte bu yüzden Türkiye'nin en iyi you tube kanalıdır Ruhi Çenet...❤,66
"Ruhi, I follow you from Italy, you have all my respect! 👊",64
Sen nasıl bir adamsın ya seni izlerken keyif alırken bir yandan gururlanıyorum...,64
"O kadar keyifle izliyorum ki videolarını, dünyanın en yararlı kanalı olabilirsin. Teşekkür ederiz.",63
Özellikle Vietnam’lı kişilerin yorumlarını görünce seninle daha çok gurur duydum.. başarılarının devamını dileriz. Önce güvenlik bunu sakın unutma. Kendine iyi bak…,59
Türkiyenin bu tarz içeriklere sahip bir kanalı olması çok iyi bir olay. Umarım bu tarz içerikler ülkemizde daha da artar.,57
"Hello, I live in Japan.
I’m so happy to be able to watch incredibly interesting videos like this one. I’m also very grateful for the Japanese narration.
Thank you always for your amazing videos!",56
"En sevdiğim en heyecanla videolarını beklediğim kanal , Teşekkürler.",55
"This could've been a much longer video, I would appreciate every single detail. 
Please consider filming longer takes and showing more details such as camping, the hike to get there and etc.
Excellent video as always. Much love from Brazil.",55
Ücretsiz şekilde bu serüveni bizlere paylaştığın için teşekkürler. Türkiyenin en iyi kanalına hoşgeldiniz ben Nuhi çenet,54
"Diğerlerinden farkı şaklabanlık yok, eğlence havası oluşturmuyor. Tamamen doğanın konuştuğu dili belgeseline yansıtıyor. Muhteşem",52
Consider my timbers shivered. The absolute MASS of that whole cave system is breathtaking! To know that there are even new species being discovered there is definitely the highlight of my day. I just found your channel and instantly subscribed because your style of documentary is all I ever wanted! Phenomenal work!,50
"I'm Vietnamese , I thank you very much for coming and exploring, introducing Son Doong cave Vietnam ❤️🇻🇳",50
0:50 ANCIENT CITY,49
"It's actually insane that Ruhi's name means ""related to soul."" He is literally putting his soul into work, his passion. I love him; I wish I could donate him, but I am not rich, and I have almost nothing to donate. So, keep going. Ruhi, keep going 🙏. I still remember the days Enes Batur was making fun of you when he won the 10 million subscribers plaque, but you just humbly smiled and congratulated him. Now, you are almost going to surpass him with 13 million subs. You've done it; I am so proud of you.",49
"As a cave researcher, I experience incredible emotions. Thank you from the bottom of my heart. I am so glad you exist.",47
"Sei il miglior creatore di contenuti, meglio di Netflix.
Grazie di tutto Ruhi ❤",47
"I am Vietnamese, and this is also the first time I have watched such a detailed video about Son Doong Cave. Thank You",45
2:29 Face on the wall,45
0:11 so thats why clouds were in minecraft caves back in the day. Always thought the game was buggin,44
"I'm a Vietnamese. Thank you for this documentary video, and from now more people will know about many wonderful landscapes in Vietnam. Welcome everyone to Vietnam!",44
YouTube'a verilen zamanı hak eden nadir kanallardan biri..,42
Cave divers would consider this as large as a country,42
DÜNYANIN EN İYİ İÇERİK ÜRETİCİSİ OLDUĞU İÇİN RUHİ ABİYE TEŞEKKÜRLER 🇹🇷,42
"Ruhi, you are my favorite youtuber that I have been following since my high school years. Even in those years you were the best in your province. We are proud of you as Turkish people.",42
8:00 minecraft lush cave,38
"Well done doc, none of the usual utube video where you are subjected to endless repetition of footage, voice over cut in OVER OVER and over.  Thank you for an amazing PROFESSIONAL DOC.",38
"You took what could have easily been a rich 2 hour documentary and condensed it into a 16 min video, that is insane!",37
Ruhi's documentaries are the definition of quality over quantity,37
the earth is so amazing!!! thank you for a fantastic video and look inside.,36
Vay be Ruhi abi buraya girebileceğin aklımın ucundan bile geçmezdi gerçekten Türkiye'de bu işi en iyi yapan sensin. 👏👏,35
"EĞLENCELİ BİLGİ: Yorumları iki kez tıklayarak beğenebilirsiniz, üç kez tıklayarak da cevaplayabilirsiniz 💀🔥",33
3:21 Are you okay....?,33
"Ruhi, it was an amazing video; it's a shame it only lasted for 16 minutes. Judging by the footage I feel there was enough to make a 30-minute video and be amazed by all Nature in the cave",32
"A man spends most of his life to find this cave. First, he went to the jungle with his friend and got lost so he discovered the cave by accident , then he went home and forgot the way back. Impressed by its beauty, he try to found it again for decades",31
16:18 What's Privacy policy? explain that too,31
Thank you for coming to Vietnam and capturing such stunning and impressive footage of Sơn Đoòng. We are very proud to be Vietnamese.,30
It's a source of pride to see your work becoming more and more professional.,30
"Ruhi, your English is getting even better and your accent sounds great! I’ve always loved your documentaries as they are so unique and awesome.",29
"RUHİ ÇENET 👍 This person is fantastic! 
Her reports are always breathtaking! You're the number one in documentary filmmaking!",29
This is absolutely mind blowing. I can't believe a place exists like this on Earth and has been undiscovered until recently. What a world we live in.,28
"thank you for introducing a huge cave in Vietnam to the world and hope that viewers will like it and come to Vietnam to visit. In Vietnam, there are many beautiful places and many monuments.",28
Indian🇮🇳 audience attention 👇,28
বাংলাদেশ থেকে আপনাকে অনেক ধন্যবাদ  এমন দুর্দান্ত ভিডিও দেওয়ার জন্য।,27
"Video was amazing as always, can't believe there is sustainable forest in the cave :D Your English is getting so much better, very noticeable!",26
"Ruhi Çenet; verdiği emekle, girdiği tehlikelerle, içerik kalitesiyle, YouTube Globaldeki en iyi kanallardan biri. İzlenme ve abone sayısının artarak devam etmesi dileğiyle.",24
Teşekkürler.,24
"As a Vietnamese, I truly feel proud watching this video. Thank you for helping to promote the image of Sơn Đoòng Cave to the world. Wishing you much success and good luck on your next adventures.

From Vietnam with love ❤🇻🇳",23
9:50 alan walker alone take video in here right?,23
"Welcome to my hometown to film and explore, there are many beautiful places in Vietnam. A tour to explore Son Dong cave is $3000. I don't know if this young man is sponsored by Oxalis or pays for it himself. 

Chào mừng bạn đến quê hương tôi để quay phim và khám phá, còn rất nhiều nơi trên Việt Nam rất đẹp nữa đó 🇻🇳🇻🇳🇻🇳",23
Ayıp abi ya şu video 3 5 saat olmalıydı youtubede izlediğim en iyi video! Gururumuzsun ruhi,23
"Ülkemizi teşekkür ettiğin için teşekkürler Ruhi 🇹🇷 Seninle gurur duyuyoruz!

Thanks for represent our country Ruhi 🇹🇷 We are proud of you!",23
"This is absolutely mind-blowing! The fact that a cave as massive as this exists, complete with its own ecosystem, river, and even clouds, feels like something straight out of a fantasy novel. Nature never ceases to amaze! It’s incredible to think that a place like this remained hidden for so long, untouched and thriving on its own.

The sheer scale of the cave is unreal—seeing the towering stalagmites, the lush greenery, and the misty atmosphere makes it feel like an underground world of its own. It must be an unforgettable experience to explore it in person! I can only imagine the kind of undiscovered life forms or geological wonders that might still be hidden inside.

Videos like this remind us how much of our planet remains unexplored. Huge respect to the explorers and scientists bringing these hidden wonders to light!",22
bu adam kendini bayağı geliştirdi. Artık Türkiyenin hatta dünyanın en büyük kanalı sayılır.,22
"Ruhi Çenet’s way of storytelling and his videos are truly mesmerizing. Congratulations, Ruhi! I wish you continued success🎉🎉🎉",22
It looks freaking majestic even in the video. I can’t even imagine what’s it like to see this in person!! But $5000 per person is definitely out of my pocket capability lol,21
I am vietnamese {tôi rất tự hào khi bạn đến đất nước của chúng tôi và tôi rất tự hào khi bạn mang điều này cho thế giới đc bt đến} thank you ❤,21
Türkiyeyi senin gibi kaliteli insanların temsil etmesi çok güzel ve böyle büyük bir kitleye hitap edip insanların bilgilenmesine yardım ettiğin için teşekkürler ruhi çenet,21
"I don't think anyone else is mentioning it, but you've obviously been practicing your narration voice-over and I can really tell Ruhi. You've adjusted the pace of your voice and have obviously been working on your English pronunciation. Just want you to know it's payed off I can really tell a difference from just a year ago.",21
"🇻🇳I am Vietnamese, I am very proud when you come to my country to explore, I love you so much 🇻🇳♥️🍀",20
"5 günde 15M izlenme. 
Bu tür uluslararası düzeyde belgesel yayınlayan Ruhi Bey’ i ve ekibini yürekten tebrik ediyorum. 
Nice başarılarınıza ..",20
Türk bir belgesel üreticisi olarak bizi dünyada temsil ettiğin için teşekkürler gururumuzsun,20
RUHİ CENET BİR MARKADIR 👏 TÜRKİYEMİZİN GURURUDUR🇹🇷♥️,19
"I never open notifications for any YouTube videos, but when it comes to Ruhi Cenet, it's a different matter. I love his content so much 🙂",18
"Я не знал, насколько сильно я хочу посмотреть это видео, пока его не увидел. Спасибо, это напомнило мне то, как я смотрел такие телепередачи в детстве.",18
"Earth is a beautiful creation, Thank God.",17
"Türkler Buradamısınız...🇹🇷🇦🇿🇹🇲🐺
👇",16
I am so proud that I am Vietnamese and can watch a quality video like this. I feel very proud that Vietnam's Son Doong Cave has been brought to the world for friends to see and admire. Thank you Ruhi Çenet.,16
"Great work. Very interesting documentary. No idea why YouTube decided to suggest me, but 
I'm glad they did :)",16
"As a Vietnamese, thank you for introducing our scenic beauty to the world, and don't forget to try Vietnamese cuisine as well",15
Thank you for  coming to explore  Son Doong Cave and creating an interesting video. A follower from Vietnam.,15
"""The biggest content creator in Turkey and even globally. Wishing you success, bro.🙏",15
Mağaranın kendi yağmur ormanı olması olağanüstü çok güzel,15
Abi bende video atmadın diye üzülürken video attın seni çok severek izliyorum 💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗,15
"The wait is finally over, it has finally arrived 😊
Love Ruhi Cenet😘😍❤❤❤",15
"I always proud of you, you make a video that many people don't know. Best regards of Indonesia.",14
"Timestamps (Powered by WORLD GYYAN)
00:06 - Sandon Cave hosts a unique underground ecosystem and was hidden for 3 million years.
02:13 - Exploring the submerged wonders and wildlife of the world's largest cave.
04:28 - Exploring the Sondong Cave reveals stunning formations and unique ecosystems.
06:27 - Exploring the world's largest cave reveals stunning geological features.
08:24 - Exploration of unique cave formations and ancient limestone in a massive cave.
10:24 - Exploration reveals a unique underground rainforest ecosystem in a massive cave.
12:29 - Exploration reveals unique cave features and adaptations of local wildlife.
14:32 - Investigation reveals fossil's identity as an extinct sea creature.",14
"13:20, Blind cricket, absolutely mind-blowing! Awesome video Mr Ruhi, Visit Mexico's bat cave please.",14
"✦𝗠etrowin𝟴𝟴✦ gampang banget buat jepe, gak ribet!",14
"This documentary makes me wanna visit Vietnam just to see for myself. Anyways, watching from Kenya with love❤",14
This should be a 1 hour long video. I would watch all of it. I really like it and enjoyed watching it,12
12:45 you know what else is massive THE LOW TAPER FADE,12
5:23 That wall looks like that mf Trebol in One piece 😂,12
"O aylık ücret karşılığında dizi izlettirebilen sitelere para baymaktansa, gelin bu adamı destekleyin. Ülkemizi olabilecek en sağlam şekilde temsil ediyor. Ayrıca bu videoları ücretsiz bir şekilde izleyebiliyoruz çok iyi birşey değil mi :) Tek sorunu videoların gelmesi uzun sürüyor ama bu da videoların kalitesinden, emeğinden zaten ve değerli de kılıyor. Tüm ekibin emeğine sağlık..",12
Vietnam 🇻🇳🇻🇳🇻🇳🇻🇳,12
"Спасибо Руи, что даешь такую возможность посмотреть хоть и через экран, но на такую невероятную красоту природы. Жаль, что в живую в жизни такого многим не увидеть.",12
"Аллах Велик! Какой Он мир Создал для нас, это просто невероятно 😍👍 всей съёмочной группе спасибо за то,что показали нам неведомые места на планете, вы большие молодцы. Но хотелось бы, чтобы ваши видео были подлиннее. Жду с нетерпением ваших новых видео.",12
Diğer youtuberler gibi oturarak gelişmek yerine neslimize bilgi aktarıp insanlık için keşifler yaptığın için sana teşekkürle Ruhi Çenet,11
"Obrigado por atualizações contínuas. Eu prefiro negociar no mercado de ações, pois é mais lucrativo. Eu ganho uma média de $ 34.500 a cada 2 semanas, embora eu mal negocie.",11
"Truly incredible how you show us the variaty of the world, from beautiful cultures to even more beautiful landscapes and caves. thank you so much for this!",11
10:04 Scene like Pairates of Caribbean,11
Kaliteli içeriklerin sayesinde ülkemizi gururlandırıyorsun sana çok şey borçluyuz çok sağol RUHİ ÇENET❤,11
"I love your video. 
Always wait for your video. 
Many many good luck for you ❤",11
Thanks,11
04:35 this map looks like the Sonic Game 😅😅,10
Gururumuzsun Enesten rekoru kapmanı heyecanla izliyoruz,10
"It's the kind of cave you'd be excited to explore and dive into in Minecraft. If it's this mesmerizing to see in-game and on-screen, I can't even imagine how you feel there.",10
Üniversite öğrencisiyim. Aileme yük olmak istemiyorum YouTube'dan harçlık çıkartmak istiyorum bu kadar insandan 5-6 kişi bile görüp takip etse çok iyi olur. Şimdiden çok teşekkür ederim. Bunu sürekli belirtiyorum samimi kalın en iyi dostunuz kendinizsiniz kendinize iyi bakın...%+',10
YOUR VIDEOS INCREASE MY GENERAL CULTURE THANKS 😊,10
Indian like here ❤,10
"Bilimin ışığında yürüyen iki Ruhi tanıdım, biri merhum Ruhi Su ve diğeri de sen canım kardeşim. Tüm içeriklerin ayrı bir heyecan yaratıyor bizde. Yıldızın parlasın ve hiç sönmesin...",10
9:03 MINECRAFT CAVE,10
Chào mừng đến với Việt Nam ❤❤❤❤❤,10
"Thank you, Ruhi, for sharing such vivid and authentic moments inside Sơn Đoòng Cave, the largest cave on the planet. Oxalis Adventure is honored to have accompanied you on this journey and looks forward to welcoming you on many more exciting explorations in the Kingdom of Caves, Phong Nha - Kẻ Bàng!",10
"this guy is a hell of a documentarian. Cuts right to the point,  no filler",10
0:05 Massive?,10
"3:53 Instead of plucking out, carry a small bottle of hand sanitizer. And apply on leeches.",9
"It feels great to be among the first to watch such a high-quality documentary. Thank you, Ruhi chenet, and I wish you success.",9
Best documentary creator in the world 😮,9
"Der einzige Dokumentarfilm, den ich bisher auf angenehme und verständliche Weise gesehen habe, danke RUHI",9
Terima kasih.,9
"Helal olsun Ruhi Çenet, yıllardır videolarının kalitesini hep en üst seviyede tutmayı başardın. Tebrikler.",9
10:29 şu yürüyüş ne kadar güzel bi çekim olmuş,9
"I'm Vietnamese and really grateful when you travel Son Dong Cave in my country. Hopefully, a lot of people in the whole world will come here to travel as soon as",9
From VN with love:3,9
Thanks so much for showing this to us. It was breathtaking to watch and even more breathtaking to see in real life! I hope you make many more adventures like this,9
1:44 seems so relatable😂,8
"I am Vietnamese, it is great that you made this cave exploration video",8
"How much quality you always bring to us you do is to be where you are my Brother, thanks to you have to love your time for this quality video",8
12:18 time line I have seen Banana plant,8
I'm Vietnamese. Thank for your wonderful video.I am extremely proud not only of Son Doong cave but also of many beautiful scenes in my country Vietnam. I hope tourists come and enjoy it.,8
"I've seen a few pictures of this cave over the years, but I never saw a walkthrough until today. Son Doong is even more amazing that I imagined. Thank you so much for sharing this amazing experience with the world!",8
Thank you very much for introducing the scenery of my country to friends around the world. Thanks from the hospitable Vietnamese people.,8
15:14 using AI is pure laziness to do research don't be a sell out bro,8
Ruhi Çenet best Turkish YouTuber.,8
Việt Nam đẹp quá❤❤,8
"""There is an insect in each hole"" 
... Walks straight through the insects like a boss💀",7
The goat of YouTube content.🥶☠️,7
Neden kendi ülken için bir yorum bile atmıyorsun 😠😠😠😠,7
"if i had a chance to explore Sơn Đoòng like your team, i would be blown away by its magnificent natural beauty. Thanks for your inspirational video! Love from Vietnam~",7
