comment,sentiment
I am Egyptian and this video is the best video ever made of the pyramids,5 stars
so proud of egyption authorities that they let you DO really proud of you coming to egypt yet very jealous that I have the chance to see you,5 stars
VM Gran misterio thanks you for the exclusive images of Egypt,5 stars
what a great I think this is your best video,5 stars
Proud and happy to be Egyptian I love our history and our ancient am obsessed,5 stars
The VM Granmisterio community thanks you for these exclusive images of the pyramids,5 stars
VM Gran Misterio sends you Thanks to Ivan recommendation I am From Argentina,5 stars
This content would be enough for an hour video,3 stars
As a person living in i am honestly VERY They have gotten you do that so easily even if you are a big Youtuber,5 stars
I NEED the extended longer hour version of their trip to Egypt and the I love this,5 stars
Love Form Bangladesh Bro,5 stars
You can imagine how these pyramids were built by the ancient Egyptians with all this Thank really for this as as I seen this before,5 stars
I am an antiquities specialist and this is the first time I see new things in the pyramids The video is Thank,5 stars
Now a video I actually want to,5 stars
The Egyptian men were extremely and They made this video even,5 stars
This is so nice more pls,5 stars
I am Egyptian and this is the first time I see these beautiful shots inside the Thank you for this effort and welcome to the mother of the which is the origin of,5 stars
What an incredible Egypt is packed with mysteries Why not make an entire series,5 stars
Those Egyptian guides were so relaxed and I enjoyed the humorous yet informative,5 stars
As an welcome to our ancient Hope this inspires more people to visit and learn about our,5 stars
This is the type of video that should have been more than an hour,1 star
VM GRAN MISTERIO talked about this,5 stars
I recently went to Egypt and believe in me it is the best places to experience adventure and fear at,5 stars
i cant believe how strong you and your cast literally only person to do,5 stars
Egyptian and this is the first time to see the magical footage inside our thank you for this effort and you are welcome any time in Egypt,5 stars
Who is watching this now,5 stars
old but he look tired in single time he look excited,2 stars
That dude definitely took that,5 stars
been smiling this entire I love learning about the ancient Thank you so much to these wonderful Egyptians for making this video Love from the US,5 stars
what a beautiful Egypt from Indonesia,5 stars
are going to escribe with this,5 stars
As an I want to thank you for making this content with all this admiration and interest in our Egyptian We are always proud of our Egyptian history and and now I am even more proud after this,5 stars
Karl is so chill,1 star
Omg bro so cool,5 stars
Thank you for using your money and power for such cool I love,5 stars
Thank you very because you came to I wish you could enjoy this beautiful trip,5 stars
I am proud to be an Egyptian with the greatest civilization in the It is wonderful that you are,5 stars
As an I was surprised with the incredible information you provided in this That was AWESOME and you were more the welcomed in our land of history,5 stars
Best video in history Its mind,5 stars
Thanks for filming this amazing even the atmosphere is felt here,5 stars
Doctor Zahi is a,5 stars
Egypt is incredible and the tour guides were,5 stars
I wish you had made this video just for I really get enough of watching the pyramids are,3 stars
Zahi went back for that gold for sure,3 stars
Vm Granmisterio sends you many,5 stars
VMGran says hello,1 star
I have searched a lot about the pyramids through books and other but now I am amazed by this Now you are a very genius,5 stars
This is a perfect example of money giving you access,5 stars
This Video is Really Fascinating to Watch just woah,5 stars
Being Egyptian makes me proud is special and Thank u for your,5 stars
As someone who loves history and I LOVE this Simply amazing to Once in a,5 stars
This is exactly how privileged access should be used and,5 stars
This video is literraly going to be shown in schools all around the world for years,5 stars
VM GRAN MISTERIO TE the mistery is here,5 stars
A video attempting to camouflage current findings,4 stars
I love seeing the beauty and mystery of our pyramids being appreciated in such a unique The effort and dedication,5 stars
brain eating omeba,1 star
I am from Egypt and I am honored to welcome I saw you at the,5 stars
Is the video really I want the greatest video in the history,5 stars
As an this is the first time I have seen or heard about the things inside the it is You are,5 stars
remarkable about Egypt is that it has all kinds of natural healing and a simple,5 stars
as an Egyptian is the first time to see what inside the IT IS THE BEST VIDEO YOU HAVE EVER,5 stars
He is not just Zahi He is a living legend Professor Zahi Hawas Is a living legend The most important archaeologist of all time,5 stars
have you ever heard about brain eating just,5 stars
Brazilian and I was inside the and other egyptian constructions in I love Egypt,5 stars
This was such an incredible adventure to I love seeing the beauty and mystery of our pyramids being appreciated in such a unique The effort and dedication you and your team put into this experience are truly,5 stars
why bro is diving in still water,1 star
still water,4 stars
As an Egyptian that have been to the pyramids before this is the first time to see or hear about these magical things shown in this the best video that really shows how great the pyramids because some people just try to fit the mold,5 stars
Proud to be,5 stars
Zahi going back for that gold,5 stars
We need an extended cut of this must be hours worth of cool content,3 stars
Granmisterio te VM Granmisterio sends you,1 star
Easily the best Entertaining Educating,5 stars
This is so I am so proud to be Egyptian so great that the biggest YouTuber on this platform is visiting it and showing the world how great and magical it is,5 stars
Next video I bought a property in,5 stars
This is really I am very proud to be so great that the biggest YouTuber on this platform is visiting and showing the world how great and magical it,5 stars
this is the first time I have seen these stunning images inside the Thank you for your and welcome to the Mother of the the source of,5 stars
This is not an it is simply hype,1 star
I am Egyptian and I am proud,5 stars
ESCRIBE,4 stars
Congratulations Mrbeast,5 stars
Imagine being such a big content creator that instead of shouting out singular people you just shoutout entire,5 stars
the top videos are always made in,5 stars
Egypt is not only great in the Every street in Egypt is great and amazing and has a great Egypt exports beauty to the world,5 stars
Anyone here TYSM IVE NEVR GOTTEN THISSS,5 stars
I love your video am a student and I have always been interested in learning about the pyramids of ever since I studied about them in class I have always wanted to learn more about them and your video has been very helpful to Watching it and seeing the information inside was really Thank you very much for this video,5 stars
Ancient History is,4 stars
This is the first time seen and heard about the events depicted in the this is one of your best videos,5 stars
who notice the creepy face,3 stars
This is actually an insane I mean they are always pretty crazy but this may take the Legendary stuff Loved seeing inside the tombs and the,1 star
I am really proud of the greatness of our ancient Egyptian Thank Welcome to it was a unique experience,5 stars
I am really proud of the greatness of our ancient Egyptian Thank Welcome to it was a unique,5 stars
and this is the first time seeing this magical footage inside our Thank you for this and you are welcome anytime in Egypt,5 stars
Zahi def got that gold for himself,5 stars
Doctor Zahi the GOAT,4 stars
The pyramids are and Egyptians are friendly and welcoming to tourists and Great,5 stars
I am from Egypt and from Thank We are honored to have you in,5 stars
probably one of the best use of platform and resources hands down the best video ive ever seen,5 stars
This is not an this is just hype entertainment,1 star
Egyptian and this is the first time to see this magical footage inside our thank you for this effort and you are welcome any time,5 stars
i am egyptian and a gaming content am so proud of what mrbeast did thank you mrbeast for showing the greatness and history of egypt,5 stars
who is ummati of Muhammad,5 stars
Anyone here,1 star
and Zahi were,3 stars
The sweetest Mister Basit in the world has enlightened Egypt,5 stars
Salute to the always ahead of Fear is a thing of the past,5 stars
still,4 stars
The video was a source of pride for me and all Thank you for visiting and I hope you visit,5 stars
Welcome to the land of civilizations and Egypt,5 stars
Those Egyptian guides were so chill and Loved the humourous yet knowledgeable interaction,5 stars
As an really proud to see our ancient history getting worldwide The Great Pyramids are truly a and this video showcases their magnificence Hope more people get inspired to visit Egypt and witness this incredible heritage firsthand,5 stars
Gran Misterio greets Great video Mister,5 stars
Doing what most and documenting it for the whole world to LOVE IT,5 stars
All Egyptians are grateful to you for this wonderful video which will definitely promote Egyptian,5 stars
I can actually imagine history teachers playing this video in class from now on when they are talking about the pyramids,5 stars
still water,4 stars
Wish the video was much I wanna see This is the best video ever,5 stars
so happy to sit in the corner of the room and see the pyramid thanks to Thank,5 stars
Amazing I need to see the Great Pyramids in,5 stars
If you can build a pyramid you can do anything I am proud to be Egyptian,5 stars
The pyramids are impressive and the the egyptians are friendly and welcoming to guests and Great,5 stars
Egypt is the land of magic,5 stars
Love to see content about,5 stars
I love you from Egypt,5 stars
Love the originality of The,5 stars
Imagine how they were so skilled at building and construction that people thought they were aliens,5 stars
I am very proud to be an a granddaughter of the greatest civilization in the,5 stars
These egyptian dudes are,1 star
actually this is really cool,5 stars
I am very proud of our ancient Egyptian Thank Welcome to it was a unique,5 stars
As an I am really proud of our ancient history,5 stars
What an EXCEPTIONAL Just,5 stars
That gold is getting dug out right when you leave lol,5 stars
Definitely ONE of THE BEST VIDEOS on the Thanks for,5 stars
These pyramids surprised,5 stars
I think this is probably the coolest video yet,5 stars
I need a sample of that water,3 stars
We want an episode on a space with,4 stars
An educational mrbeast video is very refreshing,5 stars
I think this video brings out childish excitement in life for all,5 stars
From Egypt we love you,5 stars
The pyramids of Egypt are a very fascinating story,5 stars
this was even realize how fast the video flew totally hooked from start to way you bring history to life is just next Easily one of the best adventure videos,5 stars
still water,4 stars
This is the best video ever created by,5 stars
As an I have also been inside the pyramids but definitely not this deep and it was amazing being in there and I hope u enjoyed it as much as I did,4 stars
Thank you for investing your money and power in such exciting I love,5 stars
We need an extended This is absolutely,1 star
I worry about the disrespect so much as much as,2 stars
I LOVE EXPLORATION He should totally make more of,5 stars
Ancient Egyptian builders were on another level,3 stars
Yo mrbeast you should be careful it could have been still water,3 stars
This is only a small part of the beauty of there is so much to we hope for another video in,4 stars
Nothing compares to the honor of belonging to Being descendants of this great civilization is the greatest pride of,5 stars
Sending positive vibes,4 stars
Be Aware There can Be Brain Eating Beast,3 stars
still water,4 stars
This must of been a wonderful So many mysteries with the I wonder how tall ppl were when they built,5 stars
Egyptian and proud of,5 stars
Nolan was not expecting that,3 stars
Best video in history Its mind,5 stars
Fr I love being an Egyptian Thx for showing the world how beautiful Egypt is,5 stars
This was such an incredible adventure to As an I love seeing the beauty and mystery of our pyramids being appreciated in such a unique The effort and dedication you and your team put into this experience are truly Thanks for sharing this amazing journey with the world,5 stars
Mrbeast is cupid HAHAHA,5 stars
Can we get hour long videos of historical adventures,5 stars
to pay the Egypt,1 star
This is so How the heck did you get permission to do,5 stars
I am and I must say that this is your best work This is,5 stars
Who is watching this now,5 stars
Playsation servers might be down but mrbeast delivery with a banger,3 stars
Now thisis a content worth watching I wish it was longer,4 stars
Best Video Ever as a Egyptian I am so will Feastable launch in Egypt we are so hungry,5 stars
Egypt came and then history followed All the love from Libya,5 stars
Spending hours inside the pyramids is an adventure of a Your dedication to bringing us such unique content is truly,5 stars
Missed a massive collaboration with Ancient,2 stars
Egypt timeless endless Thank you for this,5 stars
I love learning about cool you got to explore all of,5 stars
Egyptian And thank this you and the staff are welcome in Egypt,5 stars
This is not a video this a history maker video,1 star
EGYPTIAN SO PROUD OF OUR INCREDIBLE HISTORY EGYPT HAS GIVEN SO MUCH TO THE FROM THE PYRAMIDS TO ANCIENT SCIENCE LOVE SEEING EGYPT GETTING THANK YOU FOR THIS NICE EXPERIENCE,5 stars
still,4 stars
This is Welcome to and welcome to all people from everywhere in the world,5 stars
It is incredible how someone without any kind of power or important relationship in history can have access to a monument as historic as the Egyptian pyramids with only their,5 stars
Wow awesome Thank you for this beautiful and challenging adventure,5 stars
You are the best YouTuber in Greetings to you from Egypt,5 stars
so excited for the finale of beast games,2 stars
As an and someone that has been to the pyramids this is still one of the coolest things SHOUT OUT TO THE COPTIC ORTHODOX,5 stars
I am proud to be Egyptian,5 stars
Welcome to Egypt,5 stars
I was waiting this It took a lot of,3 stars
still water,4 stars
As an this is the first time I see and hear about the things shown in this this is one of the best videos ever,5 stars
This ought to be so much more then just a Eagerly awaiting the futures unraveling info about these fantastic Xoxo,5 stars
From algeria Egypte have a big culture I love it,5 stars
I absolutely loved No more alien pyramids theory for the Egyptians that made the pyramids are,5 stars
i just learned about egypt and this is the coolest,5 stars
As an this is the first time I see and hear about the things shown in this this is one of the best videos ever,5 stars
I felt extremely claustrophobic when Karl claimed he got stuck,1 star
I felt proud to be an Egyptian from the land of the pharaohs This Video was the best tourist preacher in our dear Egypt,5 stars
Anyone want to travel to Egypt after seeing,1 star
Indians attendence,5 stars
some one is gliding in the top right,3 stars
Beast really doing BEAST things,5 stars
I cant believe how strong you and your cast Literally the only people to do,5 stars
The best video in terms of historical value,5 stars
what do you mean,5 stars
This is honestly I wish the video was longer and more in depth because of how amazing the pyramids are but still amazing footage,4 stars
Egypt is the mother of the one of the greatest civilisation,5 stars
As an this is the first time I see and hear about the things shown in this this is one of the best videos ever,5 stars
love Egypt and the civilization of Egypt,5 stars
That one unemployed friend on a Tuesday,1 star
Egypt is Its mystery astounds us The Egyptians were truly masterful creators of an ancient civilization and poetic in their ways of writing and The pyramids are a reminder of their power and strength in numbers,5 stars
This is a complete selection to which is far superior to scrolling,5 stars
editing these videos bless your heart with the sound,5 stars
been waiting with bated breath for this episode that you filmed at the Pyramids in What an exciting and amazing,5 stars
the pyramids surprised ME BRO its amazing,5 stars
A Land of Timeless Wonders and Magic,5 stars
from Egypt and a big fan,5 stars
Part is crazy,5 stars
views in mins is crazy nice video btw,5 stars
you can build a you can do Absolute W,5 stars
As an I am proud to be Egyptian and proud of,5 stars
Imagine that I studied Egyptian archaeology for four yet this is the first time I have seen these rooms and tombs inside the,5 stars
Love from GIZA,5 stars
nolan is literally me xD,1 star
We are going to the,5 stars
Love From,5 stars
This video is very It introduced us to the Egyptian which is one of the greatest civilizations in the I am proud to be,5 stars
I SPENT INSIDE THE PYRAMID PYRAMID TOUR,4 stars
This is definitely the best video the beast has ever I have not had the opportunity to be in these pyramids and here I could see how great they Wooo,5 stars
Still,4 stars
braineating,5 stars
From we are very happy to have you in Egypt and to visit the,5 stars
Watching from nepal,5 stars
still water,4 stars
Egyptian Arabic dialect Your are you They are,5 stars
Thank you very much for giving us such a beautiful,5 stars
Thank you for this incredible As someone from the royal Egyptian this was a fascinating and valuable learning,5 stars
actually no the camel with the hat is better,2 stars
smack that ahh,2 stars
The video ended without even really interesting video that shows the greatness of the Egyptians and how they built these awesome peices of Much love to the Egyptians,2 stars
Love from Bangladesh,5 stars
I am so I am very,4 stars
Because you gave them millions of,1 star
Egyptian and so proud,5 stars
You guys have no fear of Thanks for the,5 stars
Mrbeast teaches you more knowledge than a History Teacher,5 stars
Is this still it,3 stars
Who is watching this,5 stars
This is genuinely the best video mrbeast has ever,5 stars
So proud to be,5 stars
Doing what most and sharing it with the I LOVE,5 stars
I went to Egypt in and it was the most amazing trip I also climbed in the great pyramid What an awesome I would definitely visit Egypt,5 stars
Evening is ligal when u have,3 stars
How did bro pull this,1 star
I am proud to be,5 stars
One of your best But why the Egyptians use a robot to discover the tunnel in grave at,4 stars
ancient Egyptians had,3 stars
still water,4 stars
still water,4 stars
This video proves a lot about the greatness of Egypt and the It is wonderful It is the greatness of I hope you enjoyed this,5 stars
What a The tour guides were so,5 stars
who is ummati of Muhammad,5 stars
most important part of the Karl being Karl lol,4 stars
bruh u have to be sooooo tired between these vids and beast love your stuff cant wait for the finale of beast,5 stars
Bro isnt there brain eating amoeba,1 star
Without a doubt one of craziest videos,5 stars
As an Egyptian who loves I am proud that the ancient Egyptians did Egypt is one of the most wonderful and beautiful countries,5 stars
Karl is definitely getting a brain eating ameoba after this,5 stars
LOVE FROM THE PHILIPPINES,5 stars
still water brain eating amoeba,2 stars
I am and I must say this is your finest piece of work by This is amazing,5 stars
Greatest YouTuber of All Time,5 stars
still water Who,4 stars
I am Egyptian and proud,5 stars
Mrbeast is the King,5 stars
your consistency even after releasing beast games is Btw loved beast,5 stars
This civilization and beauty are only in We are glad you,5 stars
The strongest and greatest episode,5 stars
This episode is the strongest and greatest without you are in civilization was born before history was written,5 stars
Definitely one of the BEST PYRAMID Thank you for,5 stars
YOOO THIS IS,5 stars
Egypt then history,5 stars
The Egyptian guys were so and They really made this video even more,5 stars
Egyptian civilization and the pyramids will remain a wonder of the world throughout time,5 stars
a great Who agrees with ancient What could be,5 stars
Egypt is who agrees with me,5 stars
Bro really got me rollin from the the under,5 stars
As an very happy to see this video Egypt and our history are great,5 stars
is this dude,5 stars
The pharaohs curse mentioned,1 star
coz the video will definitely increase the tourism rate,4 stars
Egypt is the greatest civilization in the history,5 stars
I am proud to be from Egypt,5 stars
As an this is the first time I see and hear about the things shown in this this is one of the best videos ever,5 stars
We are honored by your,5 stars
Egypt is the best,5 stars
But what was written on the cealing at,3 stars
hours of leave seems a little short,3 stars
Bro Egyptian and this is the first time i saw this art and listen to these stories Thx to share this beauty to the world a big honor to,5 stars
This masterpiece should atleast be hour long,5 stars
Quite a incredible adventure And i just escribe Sending to the,5 stars
So cool that you guys got to do this im a massive nerd about ancient Egypt the architecture is so cool,5 stars
This is one of best videos,5 stars
This is crazy As the ancient Egyptians still dazzle the,5 stars
Granmisterio te manda VM Granmisterio sends you,1 star
one of those videos that i enjoy watching,5 stars
Omg bro so cool,5 stars
who is the king,5 stars
I am proud to be from Egypt,5 stars
Proud to be This video gave me history is truly is why Egypt is the,5 stars
why havent they put RC drones down,1 star
I thought they had the three stars Marias,3 stars
You are born for making history,5 stars
Bro,4 stars
Imagine if they found some rare toumb would have been crazy or somting rare,3 stars
Honestly I think this is the best video ever u have created before,5 stars
This is the definition of Can Get You,5 stars
Is there any here watching and enjoying it,5 stars
Is that not still water down,3 stars
Egypt came then history came after,5 stars
I am obsessed with Egypt I love it thank you,5 stars
because I can see from up,4 stars
From now i am also a friend of Gang of khofu,5 stars
Thanks for amazing trip to,5 stars
I am proud to be Egyptian Our civilization is the most wonderful in the We are happy for your visit to Egypt I hope it will not be the first and last You are all welcome to Egypt at any,5 stars
What a great history This was so cool and makes me want to hop on a plane to,5 stars
Egypt is i have been there last year on vacation and saw the pyramids Amazing experience truly the wonders of the ancient world Amazing video,5 stars
still water,4 stars
Still,4 stars
So cool,5 stars
Iam impressed,5 stars
still water,4 stars
Who is,5 stars
As an I absolutely loved this vid,5 stars
This video needs an extended video documentary There must be so much more footage,2 stars
I am Egyptian and i love watching your videos very much and I love you very much,5 stars
somehow this could be meme potential about pyramids,3 stars
Sending Love From Egypt To The Best Youtuber Ever,5 stars
It is an amazing and crazy The most beautiful video ever is that in the land of magic,5 stars
mohamed,5 stars
Where the history Thank you so much for this First time to see this as an Egyptian,5 stars
poland mentioned,3 stars
Love from Egypt,5 stars
Littering inside of an ancient historical monument with your cheap toys is actually,1 star
The Egyptian guys were so and They really made this video even more enjoyable to,5 stars
Me and a pharaoh has the same,1 star
This is a complete selection to which is far superior to scrolling,5 stars
As an Welcome to our ancient is one of the best videos ever,5 stars
from bangladesh,1 star
This is one of the best videos seen in a long vid,5 stars
I cannot believe the access you Wish I was with you for a truly once in a lifetime trip,5 stars
As an Egyptian who studies Egyptian I find this very Thank you For this wonderful,5 stars
i been watching you for years and in years i watched vids,5 stars
no way Egyptians built They inherited,1 star
I am proud to be Egyptian,5 stars
Now this is interesting content,4 stars
smack that ahh,2 stars
I saw him talking about this on a short days ago and now finally true wait to watch,5 stars
the,5 stars
Here is here is here is the mother of the world,5 stars
This might actually be the best video you have ever made,5 stars
Why it in the,5 stars
is that not still water that just swimming,3 stars
is he really yawning in the freaking,1 star
thats what she said,3 stars
Bro really was the first clan,5 stars
Thousands of years building and still years under one,5 stars
This is the most incredible thing ever,5 stars
not fero feron now mummy is in a museum,1 star
We want more videos about,3 stars
I am Egyptian and I am proud of our ancient This is a wonderful,5 stars
Egypt is the one that taught the world and and how great you Egypt,5 stars
Love for Pakistan,5 stars
am Egyptian and proud of Welcome to,5 stars
This might be the best video ever somewhere that people been to is crazy,5 stars
you went into still water with brain eating amoebas,1 star
Very nice,5 stars
We ABSOLUTELY need the long video version of,1 star
THAT SIGH,3 stars
This is a really cool vid nice work,5 stars
JUST,3 stars
Love to see chandlers back in so many,5 stars
What a cool adventure to be,5 stars
We definitely need a longer version of I love Egypt,3 stars
As Arabian Yemeni so proud of Egyptian culture,5 stars
anyone from,1 star
legit in a Egypt class and I already learned about all this and we are about to finish the unit with building pyramids and presenting it is really fun and it is really cool to see you make this video while learning about this,5 stars
As an this is one of the best videos ever,5 stars
LOWWWWW TAPER FADE,2 stars
I truly deeply hope you allow universities and students to use these images and more if you have The value of these for History is impossible to,5 stars
Vm granmisterio says,1 star
As an egyptian fun seeing the things we were taught being proven and how our ancestors gave us the dedicated personallities we have,4 stars
a supermacy Propaganda Egyptians did built them,5 stars
This is,5 stars
I worry about the disrespect so much as much as The,2 stars
This video totally tels if you have money you can do anything,1 star
def smth there,1 star
Egypt then came There is still much yet to be I am proud to be a grandson of the,5 stars
The Egyptian civilization is one of the most incredible parts of history,5 stars
BEST VIDEO YET MRBEAST,5 stars
Welcome to Egypt,5 stars
I hope you visit Qaitbay Citadel in it is full of great Egyptian,5 stars
You Damn Egyptians Built If you can build pyramid then you can built,1 star
best part of the video,5 stars
This was one of the more natural Love it,5 stars
Welcome to,5 stars
First time i See and Hear about the things showing in this this is one of best videos ever made,5 stars
This is the only person who was not changed by but on the it helped,4 stars
I am an Egyptian and I am proud to have the greatest civilization in the,5 stars
As an I love your much appreciated,5 stars
What a blessing,5 stars
The pyramids symbolize ancient built thousands of years ago as royal They showcase Egyptian advancements in and making Egypt the cradle of,5 stars
This was such an incredible adventure to As an I love seeing the beauty and mystery of our pyramids being appreciated in such a unique The effort and dedication you and your team put into this experience are truly Thanks for sharing this amazing journey with the Ihab Rizk,5 stars
Egyptians were the NO MORE ABOUT,1 star
Egipto Greetings from,5 stars
Egyptian and This video is going to be,5 stars
Anyone watching this after recent discovery in Egypt about columns under the pyramids,1 star
Bro went back for that,1 star
Best piece of content MRBEAST HAS EVER put out for,5 stars
This is genuinely the coolest video I have ever seen,5 stars
So,3 stars
Just before a device in the corner,1 star
Very nice thanks from Egypt,5 stars
things we do to find you Anything for Nolan,5 stars
Nether,3 stars
Anyone want to travel Egypt after seeing this,1 star
They all finna get,5 stars
So proud of being Egyptian belong to this civilization,5 stars
hours inside the pyramids is not just a a journey back in Thank you for bringing a whole new perspective on an ancient,5 stars
I am coming to Egypt,5 stars
Egypt is the best place in the world,5 stars
This is a great video,5 stars
Love the This was so Would love to see an extended cut and even more history,5 stars
As an Egyptian this is the first time I see and hear about the things shown in the video Honestly this is one rhe best video you have ever made,5 stars
so proud,5 stars
Whose watching right now,5 stars
I been in love with history since the grade and this video gave me the biggest smile throughout the whole just learning and being entertained at the same time is top tier stuff,5 stars
Super,5 stars
I was really waiting to see,2 stars
happy to see you in the greatest place in the Egypt,5 stars
I need to travel to This was,5 stars
Its not a Its a tool to generate electricity,3 stars
Proud and happy to be,5 stars
is that a city in the background,3 stars
WELCOME TO EGYPT LOVE FROM EGYPT,5 stars
still,4 stars
Proud to be Egyptian,5 stars
This was such an incredible adventure to As an I love seeing the beauty and mystery of our pyramids being appreciated in such a unique The effort and dedication you and your team put into this experience are truly Thanks for sharing this amazing journey with the world,5 stars
This is one of the mrbeast videos that I would say could be used as an educational tool in a Thank you Mrbeast for stepping out of your and bringing us truly amazing,5 stars
Egyptians are the builders,5 stars
ALWAYS UNIQUE CONTENT,5 stars
EGYPT Is so beautiful,5 stars
It is where history and greatness,5 stars
I think this video Will break the all records,1 star
This is one of the best videos ever,5 stars
if the water was,2 stars
Wow I am really proud because I am Egyptian,5 stars
Bro said I want to here what he tink of this in,5 stars
Egyptian and so proud of our incredible history and Egypt has given so much to the from the pyramids to ancient science and Love seeing Egypt getting,5 stars
Every one is welcome to visit and enjoy thier time in Egypt,5 stars
This is the best video Love ancient,5 stars
Egypt is the cradle of civilizations throughout It is truly very I have read a lot about the Pharaohs,5 stars
Thank you for this you guys are As a I currently travel to but through this you made this experience possible for,5 stars
I am but without a this video is the greatest and most enjoyable video I have ever seen,5 stars
ah I too enjoy brain eating,5 stars
If you can build a you can do Greatest civilization ever,5 stars
Egypt gave you all the warmest You had both the director of the pyramids and Zahi Hawass with you showing you these rarely opened Fantastic and a fantastic video,5 stars
the low taper fade meme is still,3 stars
Can we get a This is the coolest thing ever seen,5 stars
Egypt does not only have the there are many mysteries and exciting archaeological sites that are worth visiting and You will not regret the and anyone who wants help in if you want enjoy,5 stars
Can we see a longer Should be super interesting to see more details and,3 stars
All love for all peoples from here the mother of the world is Egypt,5 stars
Now you have entered Master Beast,5 stars
That dude is fed up with your swarms plugs XD,5 stars
This has to be your best content packed and I think I speak for the people when I say we need an uncut version for the hours of,5 stars
amazing that I can see the interior of the pyramid through this I admire your,5 stars
Great move to boost tourism,5 stars
Make a video about spending hours in the Valley of the Kings in Upper Egypt,4 stars
why is there an intercom on the wall,1 star
Welcome to the land of Egyptian civilization,5 stars
I was there in April,1 star
I think I went there,3 stars
Where are the Cristiano Ronaldo,1 star
I am from Yemen and I love Egypt and the Egyptian people,5 stars
the pyramid was built by Poles,3 stars
Next vid gonna be SPENT HOURS IN THE,3 stars
Who are these people whose names are written,1 star
These Egyptian dudes are awesome,5 stars
The owner of the Palestinian shawl or the keffiyeh is very He conveyed a wonderful message through one of the most famous influencers in the world,5 stars
These Egyptian dudes are awesome,5 stars
I am proud to be Egyptian and happy that the world is aware of its,5 stars
Some of the coolest stuff ever seen on Thank,5 stars
proud to be Egyptian and proud of our great history and,5 stars
Love Egypt from Greece,5 stars
We really need an extended version of this legendary,5 stars
I swear I saw Shrek in the background at,1 star
Mrbeast did the impossible What an amazing and insightful video,5 stars
This was such an incredible adventure to watch as an Egyptian i love to tell you that This is just a small part of the amount of adventures you can discover about Egypt Thanks For sharing This amazing journey with the World,5 stars
Omds these cave diggers,5 stars
me off this Got me flying to Jupiter without a And,1 star
as an this is the first time come across the things shown in this An amazing experience and one of the best videos ever,5 stars
Egypt is the cradle of civilizations,5 stars
thats what she said,3 stars
low taper fade,2 stars
This is the best episode ever and as an Egyptian I hope for another part,5 stars
As someone who loves history and I LOVE this,5 stars
its true i have seen it at super mario odysey,5 stars
This experience would be terrifying for me but also cool at the same time,4 stars
Build another,5 stars
after the aliens built them No,1 star
TE SALUDO A NOMBRE DE IVAN MARTINEZ DE VM GRAN MISTERIO,1 star
This video really made me want the pyramids now without still a big mystery,5 stars
As we allowed to reach most of these Although you rented our pyramids for,4 stars
This mins of video is The whole video is,5 stars
Ancient Egyptians discovered geometry,4 stars
